t,ua,ub,uc,omega_mech,theta_mech,theta_e,ia,ib,ic,id,iq,T_em
0.077,0,0,0.15,-1.86558,-0.133843,-0.267313,-5.26887,3.79025,1.47862,-5.43427,-0.104506,-0.00407575
0.078,0,0,0.15,-1.86859,-0.13571,-0.271047,-5.19558,3.7574,1.43818,-5.3644,-0.100949,-0.003937
0.079,0,0,0.15,-1.87138,-0.137581,-0.274787,-5.12183,3.72494,1.39689,-5.29439,-0.0960915,-0.00374757
0.08,0,0,0.15,-1.87389,-0.139453,-0.278532,-5.04777,3.69253,1.35524,-5.22424,-0.0904255,-0.0035266
0.081,0,0,0.15,-1.87611,-0.141329,-0.282282,-4.9735,3.65981,1.31369,-5.15396,-0.0844294,-0.00329275
0.082,0,0,0.15,-1.87802,-0.143206,-0.286036,-4.89915,3.62649,1.27267,-5.08354,-0.0785381,-0.00306298
0.083,0,0,0.15,-1.87965,-0.145085,-0.289793,-4.82484,3.5923,1.23254,-5.01298,-0.0731181,-0.00285161
0.084,0,0,0.15,-1.88101,-0.146965,-0.293554,-4.75066,3.55707,1.19359,-4.94227,-0.0684516,-0.00266961
0.085,0,0,0.15,-1.88217,-0.148847,-0.297317,-4.67666,3.52065,1.15601,-4.87143,-0.0647282,-0.0025244
0.086,0,0,0.15,-1.88317,-0.150729,-0.301082,-4.6029,3.483,1.1199,-4.80045,-0.0620443,-0.00241973
0.087,0,0,0.15,-1.88406,-0.152613,-0.304849,-4.5294,3.44412,1.08528,-4.72933,-0.0604098,-0.00235598
0.088,0,0,0.15,-1.88489,-0.154498,-0.308618,-4.45615,3.40407,1.05208,-4.65807,-0.0597592,-0.00233061
0.089,0,0,0.15,-1.88571,-0.156383,-0.312389,-4.38313,3.36293,1.0202,-4.58668,-0.0599667,-0.0023387
0.09,0,0,0.15,-1.88657,-0.158269,-0.316161,-4.3103,3.32083,0.989472,-4.51517,-0.0608635,-0.00237368
0.091,0,0,0.15,-1.88748,-0.160156,-0.319935,-4.23762,3.27791,0.959711,-4.44352,-0.0622558,-0.00242798
0.092,0,0,0.15,-1.88847,-0.162044,-0.323711,-4.16504,3.23431,0.930723,-4.37176,-0.0639418,-0.00249373
0.093,0,0,0.15,-1.88954,-0.163933,-0.327489,-4.09249,3.19017,0.902321,-4.29987,-0.0657269,-0.00256335
